Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers,Year,Wins
MIN,2220054,27408,28.3,29.1,103,103,0,2,7,107755000.00,2:57,Molitor,2015,83
NYM,2569753,31725,28.6,28.2,95,94,0,1,9,98874473.00,2:56,Collins,2015,90
NYY,3193795,39430,31.2,27.4,98,98,0,3,13,214051957.00,3:08,Girardi,2015,87
OAK,1768175,21829,28,27.8,100,100,0,2,10,64016001.00,3:01,Melvin,2015,68
PHI,1831080,22606,28,28.5,100,101,0,1,9,103082167.00,2:58,Sandberg and Mackanin,2015,63
PIT,2498596,30847,28.2,29.6,98,98,0,4,12,104457499.00,3:06,Hurdle,2015,98
SDP,2459742,30367,27.6,29.1,93,93,0,1,6,125203700.00,3:01,Black Roberts and Murphy,2015,74
SEA,2193581,27081,28.6,28.6,94,94,0,2,8,130681400.00,3:01,McClendon,2015,76
SFG,3375882,41678,28.9,31.5,97,96,0,4,12,180018166.00,3:02,Bochy,2015,84
STL,3520889,43468,28.4,28.2,102,101,0,6,14,128241500.00,2:59,Matheny,2015,100
TBR,1287054,15322,28.5,26.7,98,98,0,2,7,64571233.00,2:59,Cash,2015,80
TEX,2491875,30764,28.7,28.1,105,105,0,1,9,178860789.00,3:04,Banister,2015,88
TOR,2794891,34505,29.5,29.2,99,98,0,3,12,117917400.00,2:53,Gibbons,2015,93
WSN,2619843,32344,28.4,28.6,104,103,0,2,11,176496372.00,2:54,Williams,2015,83
